"ano","mes","cargo","qtd_populacao_entrevistada"
"2020","09","Cozinheiro e garçon","2491"
"2020","10","Cozinheiro e garçon","2560"
"2020","11","Cozinheiro e garçon","2602"
"2020","09","Padeiro, açougueiro e doceiro","1522"
"2020","10","Padeiro, açougueiro e doceiro","1498"
"2020","11","Padeiro, açougueiro e doceiro","1532"
"2020","10","Agricultor, criador de animais, pescador, silvicultor e jardineiro","15183"
"2020","11","Agricultor, criador de animais, pescador, silvicultor e jardineiro","14975"
"2020","09","Agricultor, criador de animais, pescador, silvicultor e jardineiro","15562"
"2020","11","Auxiliar da agropecuária","4009"
"2020","10","Auxiliar da agropecuária","4029"
"2020","09","Auxiliar da agropecuária","4068"
"2020","09","Motorista","3288"
"2020","11","Motorista","3352"
"2020","10","Motorista","3272"
"2020","09","Motorista de caminhão","2750"
"2020","10","Motorista de caminhão","2716"
"2020","11","Motorista de caminhão","2746"
"2020","10","Motoboy","408"
"2020","11","Motoboy","392"
"2020","09","Motoboy","394"
"2020","10","Entregador de mercadorias","1043"
"2020","09","Entregador de mercadorias","1049"
"2020","11","Entregador de mercadorias","1022"
"2020","10","Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","10296"
"2020","11","Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","10469"
"2020","09","Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","10375"
"2020","11","Mecânico de veículos, máquinas industriais etc.","3332"
"2020","09","Mecânico de veículos, máquinas industriais etc.","3343"
"2020","10","Mecânico de veículos, máquinas industriais etc.","3307"
"2020","09","Artesão, costureiro e sapateiro","2959"
"2020","11","Artesão, costureiro e sapateiro","3050"
"2020","10","Artesão, costureiro e sapateiro","3013"
"2020","11","Cabeleireiro, manicure e afins","2772"
"2020","09","Cabeleireiro, manicure e afins","2643"
"2020","10","Cabeleireiro, manicure e afins","2704"
"2020","11","Operador de máquinas, montador na indústria","3105"
"2020","09","Operador de máquinas, montador na indústria","3107"
"2020","10","Operador de máquinas, montador na indústria","3114"
"2020","11","Auxiliar de produção, de carga e descarga","3931"
"2020","10","Auxiliar de produção, de carga e descarga","3828"
"2020","09","Auxiliar de produção, de carga e descarga","3809"
"2020","11","Professor da educação infantil, de ensino fundamental, médio ou superior","6319"
"2020","10","Professor da educação infantil, de ensino fundamental, médio ou superior","6337"
"2020","09","Professor da educação infantil, de ensino fundamental, médio ou superior","6404"
"2020","10","Pedagogo, professor de idiomas, música, arte e reforço escolar","894"
"2020","11","Pedagogo, professor de idiomas, música, arte e reforço escolar","917"
"2020","09","Pedagogo, professor de idiomas, música, arte e reforço escolar","897"
"2020","10","Médico, enfermeiro, profissionais de saúde de nível superior","2916"
"2020","09","Médico, enfermeiro, profissionais de saúde de nível superior","2904"
"2020","11","Médico, enfermeiro, profissionais de saúde de nível superior","2946"
"2020","09","Técnico, profissional da saúde de nível médio","2925"
"2020","10","Técnico, profissional da saúde de nível médio","2926"
"2020","11","Técnico, profissional da saúde de nível médio","2978"
"2020","10","Cuidador de crianças, doentes ou idosos","509"
"2020","11","Cuidador de crianças, doentes ou idosos","510"
"2020","09","Cuidador de crianças, doentes ou idosos","505"
"2020","10","Segurança, vigilante, outro trabalhador dos serviços de proteção","2518"
"2020","09","Segurança, vigilante, outro trabalhador dos serviços de proteção","2565"
"2020","11","Segurança, vigilante, outro trabalhador dos serviços de proteção","2541"
"2020","09","Policial civil","226"
"2020","11","Policial civil","225"
"2020","10","Policial civil","228"
"2020","09","Porteiro, zelador","1018"
"2020","10","Porteiro, zelador","1013"
"2020","11","Porteiro, zelador","1052"
"2020","10","Artista, religioso","361"
"2020","11","Artista, religioso","366"
"2020","09","Artista, religioso","343"
"2020","10","Diretor, gerente, cargo político ou comissionado","4549"
"2020","09","Diretor, gerente, cargo político ou comissionado","4573"
"2020","11","Diretor, gerente, cargo político ou comissionado","4561"
"2020","10","Outra profissão de nível superior","7347"
"2020","11","Outra profissão de nível superior","7447"
"2020","09","Outra profissão de nível superior","7422"
"2020","11","Outro técnico ou profissional de nível médio","5675"
"2020","09","Outro técnico ou profissional de nível médio","5573"
"2020","10","Outro técnico ou profissional de nível médio","5669"
