"ano","mes","tipo","qtd"
"2020","09","Nao_fez_restricao","11191"
"2020","09","Reduziu_contato","148874"
"2020","09","Ficou_em_casa_necessidade","161444"
"2020","09","Ficou_rigorosamente_isolado","63863"
"2020","10","Nao_fez_restricao","17138"
"2020","10","Ficou_em_casa_necessidade","149778"
"2020","10","Ficou_rigorosamente_isolado","48157"
"2020","10","Reduziu_contato","163684"
"2020","11","Nao_fez_restricao","17865"
"2020","11","Ficou_em_casa_necessidade","147728"
"2020","11","Reduziu_contato","171955"
"2020","11","Ficou_rigorosamente_isolado","42573"
